,497
673,502
674,506
674,506
672,506
671,500
672,507
673,497
671,500
673,511
674,494
670,507
672,498
673,503
672,502
673,497
672,517
671,504
672,502
672,511
673,499
673,505
672,507
669,505
673,506
672,504
674,503
670,518
671,502
671,513
670,502
671,504
671,507
672,503
673,519
674,500
674,504
672,500
672,502
672,509
673,502
673,512
672,506
672,499
672,501
674,508
675,503
672,508
673,500
671,507
672,497
673,503
672,518
672,496
670,503
677,495
671,503
672,503
671,498
672,516
672,503
672,501
673,497
675,495
670,504
672,504
670,506
669,505
671,500
672,502
673,511
672,502
671,510
672,500
671,504
670,507
673,505
670,519
673,497
670,507
674,500
671,502
669,505
673,501
672,509
673,508
669,498
672,503
672,504
672,500
673,510
672,500
670,502
672,499
673,501
674,512
670,494
673,506
673,495
672,502
671,503
673,500
670,515
670,502
672,503
674,498
669,498
672,508
673,500
672,506
673,502
670,499
671,505
672,513
672,502
674,511
668,499
670,507
672,505
672,502
672,515
672,498
671,505
673,503
669,503
672,503
673,501
672,513
673,508
671,502
675,505
672,502
670,505
670,509
673,502
672,506
674,498
675,504
673,513
670,497
672,514
673,499
671,503
673,502
670,505
670,515
674,497
669,501
671,497
670,499
671,509
670,507
671,503
672,503
671,497
669,501
672,509
670,501
672,510
673,497
673,506
672,502
673,509
671,511
673,496
671,506
670,500
673,505
672,509
671,498
672,513
671,507
672,503
674,504
671,500
673,504
671,508
673,501
672,505
671,500
673,502
673,516
672,499
673,511
671,499
671,505
671,509
672,501
672,514
671,498
675,510
673,501
671,502
671,506
671,504
671,507
672,502
672,498
674,506
670,508
672,503
670,508
672,499
670,501
673,499
672,504
671,513
670,496
671,511
671,500
674,504
671,506
673,500
670,513
672,502
672,501
670,502
673,501
670,503
673,506
673,506
672,503
671,500
673,501
672,516
670,502
674,507
671,498
673,506
671,509
671,503
675,517
671,499
675,505
672,503
673,498
673,502
670,501
671,508
672,507
670,497
671,504
669,508
673,501
670,505
671,501
671,507
670,502
673,506
671,512
672,494
671,509
673,497
672,504
670,501
671,499
672,511
673,501
671,503
673,503
672,499
671,507
669,504
674,505
672,506
673,497
670,496
673,513
672,502
670,510
674,499
671,505
671,506
673,494
672,514
672,499
670,504
670,505
672,501
673,508
672,500
672,510
672,508
672,498
672,509
671,506
672,499
672,508
670,501
673,507
673,499
669,504
672,513
671,495
671,507
671,497
670,501
672,501
672,497
671,515
672,497
672,503
671,498
673,497
670,505
672,500
674,504
672,504
670,494
670,501
